기업명,기업코드,공시신용등급,감성지수,ESG등급,환경,사회,지배구조,GMM_Cluster
상상인증권,1290,AA,0.911116777,C,D,C,C,1
상신브레이크,41650,A+,0.977239138,C,C,C,C,1
상아프론테크,89980,A-,0.784211171,B,B+,B+,C,2
새론오토모티브,75180,A+,0.874568789,D,C,D,D,1
샘표,7540,BBB-,0.724274602,C,C,B+,C,1
샘표식품,248170,AA,0.958109574,C,C,B+,D,1
서부T&D,6730,A+,0.856060172,D,C,D,D,1
서연,7860,BB,0.640765145,B+,B+,A,B+,2
서연이화,200880,AA,0.970266778,B+,B+,A,B+,2
서울도시가스,17390,AA,0.94712945,C,C,C,C,1
서울반도체,46890,BBB+,0.678758,C,C,D,C,1
서울식품공업,4410,BBB+,0.749582155,D,C,D,D,1
서원,21050,AA-,0.012,C,C,D,C,1
서진시스템,178320,BBB+,0.546098852,D,C,C,D,1
서흥,8490,A+,0.751714466,C,B+,A,D,1
