기업명,기업코드,공시신용등급,감성지수,ESG등급,환경,사회,지배구조,GMM_Cluster
LX하우시스,108670,BBB,0.677410116,A,A,A,B+,3
LS증권,78020,BB+,0.776407896,C,D,D,B,1
MH에탄올,23150,BBB,0.972820539,D,D,D,C,1
NAVER,35420,AA,0.60517483,A,A,A+,A,3
NHN KCP,60250,A-,0.763984026,B,B,B,B,2
NH투자증권,5940,AA,0.612325062,A,B+,A,A,3
NICE,34310,AA,0.568818448,B+,B,A,B+,2
NICE평가정보,30190,BB-,0.993537323,B+,C,B+,B+,2
NI스틸,8260,BBB+,-0.132861263,D,D,C,D,1
LX홀딩스,383800,BBB-,0.0022992,B+,A,A,B+,2
PI첨단소재,178920,AA-,0.992359942,B+,B+,A,B+,2
PKC,1340,BBB+,0.705640424,D,C,D,D,1
POSCO홀딩스,5490,BBB,0.983709217,A,A,A+,A,3
OCI홀딩스,10060,BBB-,0.762907012,A,B+,A+,A,3
S-Oil,10950,AA-,0.569106959,A,B+,A,A,3
SBS,34120,AA-,0.696954832,A,B+,B+,A,3
SB성보,3080,AA-,0.852974806,D,D,C,C,1
SFA반도체,36540,A,0.860182567,D,C,C,D,1
SGC E&C,16250,AA-,0.803330942,C,B,C,C,1
SGC에너지,5090,A+,0.807902046,B,A,B+,C,2
RFHIC,218410,BBB-,0.924911474,D,C,D,D,1
SG세계물산,4060,AA-,0.742787949,D,D,D,C,1
SG글로벌,1380,BBB-,0.978888942,D,C,D,D,1
SH에너지화학,2360,A,0.92149265,C,C,D,B,1
SIMPAC,9160,AA,0.956741559,D,C,C,D,1
SJG세종,33530,AA-,0.606725096,D,C,C,D,1
SHD,1770,BBB-,0.642367568,D,D,D,C,1
SKC,11790,A,0.679841321,A,A,A+,A,3
SK가스,18670,A,0.999733492,A,A,A+,A,3
SK네트웍스,1740,AA-,0.766429494,A+,A,A+,A+,4
SK디스커버리,6120,A-,0.783446598,A,A,A+,A,3
SK디앤디,210980,A+,0.607693576,A,A,A+,A,3
SK바이오사이언스,302440,BBB,0.578132379,A,B+,A+,A,3
SK스퀘어,402340,BBB+,-0.140052842,A+,A,A+,A+,4
SK아이이테크놀로지,361610,A+,-0.379587422,A,A,A+,A,3
SK오션플랜트,100090,A-,0.508445114,A+,A+,A+,A,4
SK이노베이션,96770,A-,0.977752653,A+,A,A+,A+,4
SK증권,1510,BBB+,-0.211671284,B+,A,B+,B+,0
SK케미칼,285130,BBB,0.881769594,A+,A+,A+,A+,4
SK텔레콤,17670,B,0.651635032,A,A,A+,A,3
